day,date,quantity,cumulative
427,1/5/2022,0,748
428,1/6/2022,0,748
429,1/7/2022,3,751
430,1/8/2022,0,751
431,1/9/2022,1,752
432,1/11/2022,1,753
433,1/12/2022,1,754
434,1/13/2022,1,755
435,1/14/2022,1,756
436,1/15/2022,1,757
437,1/17/2022,1,758
438,1/18/2022,2,760
439,1/19/2022,2,762
440,1/20/2022,2,764
441,1/21/2022,1,765
442,1/22/2022,2,767
443,1/23/2022,2,769
444,1/24/2022,2,771
445,1/25/2022,2,773
446,1/26/2022,2,775
447,1/27/2022,2,777
448,1/29/2022,2,779
449,1/30/2022,1,780
450,1/31/2022,1,781
451,2/1/2022,1,782
452,2/3/2022,2,784
453,2/4/2022,2,786
454,2/5/2022,2,788
455,2/6/2022,2,790
456,2/7/2022,2,792
457,2/8/2022,2,794
458,2/9/2022,2,796
459,2/10/2022,2,798
460,2/11/2022,2,800
461,2/12/2022,2,802
462,2/13/2022,2,804
463,2/14/2022,2,806
464,2/15/2022,2,808
465,2/16/2022,2,810
466,2/17/2022,2,812
467,2/18/2022,2,814
468,2/20/2022,2,816
469,2/21/2022,2,818
470,2/22/2022,2,820
471,2/24/2022,3,823
472,2/25/2022,1,824
473,2/26/2022,3,827
474,2/27/2022,3,830
475,2/28/2022,3,833
476,3/1/2022,3,836
477,3/2/2022,2,838
478,3/3/2022,3,841
479,3/4/2022,2,843
480,3/5/2022,3,846
481,3/6/2022,2,848
482,3/7/2022,2,850
483,3/8/2022,3,853
484,3/9/2022,3,856
485,3/10/2022,3,859
486,3/11/2022,3,862
487,3/12/2022,2,864
488,3/13/2022,3,867
489,3/14/2022,2,869
490,3/15/2022,3,872
491,3/16/2022,3,875
492,3/17/2022,2,877
493,3/18/2022,2,879
494,3/19/2022,3,882
495,3/20/2022,3,885
496,3/21/2022,3,888
497,3/22/2022,3,891
498,3/23/2022,3,894
499,3/24/2022,3,897
500,3/25/2022,3,900
501,3/26/2022,2,902
502,3/27/2022,3,905
503,3/28/2022,1,906
504,3/29/2022,3,909
505,3/30/2022,3,912
506,3/31/2022,3,915
507,4/1/2022,3,918
508,4/2/2022,2,920
509,4/3/2022,3,923
510,4/4/2022,2,925
511,4/5/2022,2,927
512,4/6/2022,3,930
513,4/7/2022,3,933
514,4/8/2022,1,934
515,4/9/2022,2,936
516,4/10/2022,3,939
517,4/11/2022,3,942
518,4/12/2022,2,944
519,4/13/2022,3,947
520,4/14/2022,3,950
521,4/15/2022,3,953
522,4/16/2022,3,956
523,4/17/2022,3,959
524,4/18/2022,3,962
525,4/19/2022,3,965
526,4/20/2022,3,968
527,4/21/2022,3,971
528,4/22/2022,3,974
529,4/23/2022,3,977
530,4/24/2022,3,980
531,4/25/2022,3,983
532,4/26/2022,3,986
533,4/27/2022,3,989
534,4/28/2022,2,991
535,4/29/2022,3,994
536,4/30/2022,3,997
537,5/1/2022,2,999
538,5/2/2022,3,1002
539,5/3/2022,3,1005
540,5/4/2022,3,1008
541,5/5/2022,3,1011
542,5/6/2022,3,1014
543,5/7/2022,3,1017
544,5/8/2022,3,1020
545,5/9/2022,2,1022
546,5/10/2022,3,1025
547,5/11/2022,2,1027
548,5/12/2022,3,1030
549,5/13/2022,2,1032
550,5/14/2022,3,1035
551,5/15/2022,3,1038
552,5/16/2022,3,1041
553,5/17/2022,2,1043
554,5/18/2022,3,1046
555,5/19/2022,3,1049
556,5/20/2022,3,1052
557,5/21/2022,3,1055
558,5/22/2022,3,1058
559,5/23/2022,2,1060
560,5/24/2022,3,1063
561,5/25/2022,3,1066
562,5/26/2022,3,1069
563,5/27/2022,3,1072
564,5/28/2022,3,1075
565,5/29/2022,2,1077
566,5/30/2022,3,1080
567,5/31/2022,2,1082
568,6/1/2022,2,1084
569,6/2/2022,2,1086
570,6/3/2022,2,1088
571,6/4/2022,2,1090
572,6/5/2022,2,1092
573,6/6/2022,2,1094
574,6/7/2022,2,1096
575,6/8/2022,2,1098
576,6/9/2022,2,1100
577,6/10/2022,2,1102
578,6/11/2022,2,1104
579,6/12/2022,2,1106
580,6/13/2022,2,1108
581,6/14/2022,2,1110
582,6/15/2022,2,1112
583,6/16/2022,2,1114
